commit	date	rules	kind	file	line	old	new	count
5e56442	2026-09-21	3.2,3.4-3.7	local variable	src/devices/floppy/device_floppy_dma.c	542	blockCounter	block_counter	7
5e56442	2026-09-21	3.2,3.4-3.7	local variable	src/devices/floppy/device_floppy_dma.c	546	blocksRead	blocks_read	5
5e56442	2026-09-21	3.2,3.4-3.7	local variable	src/devices/floppy/device_floppy_dma.c	661	blocksWrite	blocks_write	3
5e56442	2026-09-21	3.2,3.4-3.7	parameter	src/devices/floppy/device_floppy_dma.c	325	errorCodeOctal6bit	error_code_octal6bit	2
5e56442	2026-09-21	3.2,3.4-3.7	local variable	src/devices/floppy/device_floppy_dma.c	469	floppyFormat	floppy_format	2
5e56442	2026-09-21	3.2,3.4-3.7	local variable	src/devices/floppy/device_floppy_dma.c	475	imageSize	image_size	3
5e56442	2026-09-21	3.2,3.4-3.7	local variable	src/devices/floppy/device_floppy_dma.c	458	isWC	is_wc	2
5e56442	2026-09-21	3.2,3.4-3.7	local variable	src/devices/floppy/device_floppy_dma.c	474	isWriteProtected	is_write_protected	3
5e56442	2026-09-21	3.2,3.4-3.7	local variable	src/devices/floppy/device_floppy_dma.c	451	memAddress	mem_address	7
5e56442	2026-09-21	3.2,3.4-3.7	local variable	src/devices/floppy/device_floppy_dma.c	598	readData	read_data	3
5e56442	2026-09-21	3.2,3.4-3.7	parameter	src/devices/floppy/device_floppy_dma.c	39	testData	test_data	4
5e56442	2026-09-21	3.2,3.4-3.7	local variable	src/devices/floppy/device_floppy_dma.c	464	wordCount	word_count	2
5e56442	2026-09-21	3.2,3.4-3.7	local variable	src/devices/floppy/device_floppy_dma.c	506	wordsToRead	words_to_read	8
5e56442	2026-09-21	3.2,3.4-3.7	local variable	src/devices/floppy/device_floppy_dma.c	539	wordsTransfered	words_transfered	5
5e56442	2026-09-21	3.2,3.4-3.7	static function	src/devices/floppy/device_floppy_pio.c	404	FloppyPIO_ClearAllErrorFlags	floppy_pio_clear_all_error_flags	2
5e56442	2026-09-21	3.2,3.4-3.7	static function	src/devices/floppy/device_floppy_pio.c	331	FloppyPIO_Ident	floppy_pio_ident	2
5e56442	2026-09-21	3.2,3.4-3.7	static function	src/devices/floppy/device_floppy_pio.c	94	FloppyPIO_Read	floppy_pio_read	2
5e56442	2026-09-21	3.2,3.4-3.7	static function	src/devices/floppy/device_floppy_pio.c	348	FloppyPIO_ReadEnd	floppy_pio_read_end	6
5e56442	2026-09-21	3.2,3.4-3.7	static function	src/devices/floppy/device_floppy_pio.c	372	FloppyPIO_RecalibrateEnd	floppy_pio_recalibrate_end	2
5e56442	2026-09-21	3.2,3.4-3.7	static function	src/devices/floppy/device_floppy_pio.c	69	FloppyPIO_Reset	floppy_pio_reset	2
5e56442	2026-09-21	3.2,3.4-3.7	static function	src/devices/floppy/device_floppy_pio.c	388	FloppyPIO_SeekEnd	floppy_pio_seek_end	2
5e56442	2026-09-21	3.2,3.4-3.7	static function	src/devices/floppy/device_floppy_pio.c	84	FloppyPIO_Tick	floppy_pio_tick	2
5e56442	2026-09-21	3.2,3.4-3.7	static function	src/devices/floppy/device_floppy_pio.c	180	FloppyPIO_Write	floppy_pio_write	2
5e56442	2026-09-21	3.2,3.4-3.7	static function	src/devices/floppy/device_floppy_pio.c	428	SectorIsDeleted	sector_is_deleted	3
5e56442	2026-09-21	3.2,3.4-3.7	static function	src/devices/floppy/device_floppy_pio.c	416	SetSectorAsDeleted	set_sector_as_deleted	4
5e56442	2026-09-21	3.2,3.4-3.7	local variable	src/devices/floppy/device_floppy_pio.c	529	formatData	format_data	2
5e56442	2026-09-21	3.2,3.4-3.7	local variable	src/devices/floppy/device_floppy_pio.c	719	readData	read_data	3
5e56442	2026-09-21	3.2,3.4-3.7	local variable	src/devices/floppy/device_floppy_pio.c	451	transferWordCount	transfer_word_count	11
5e56442	2026-09-21	3.2,3.4-3.7	local variable	src/devices/floppy/device_floppy_pio.c	452	wordsRead	words_read	7
5e56442	2026-09-21	3.2,3.4-3.7	local variable	src/devices/floppy/device_floppy_pio.c	583	writeData	write_data	4
5e56442	2026-09-21	3.2,3.4-3.7	static function	src/devices/hdlc/chip_com5025.c	39	COM5025_ClearAllInputPins	com5025_clear_all_input_pins	3
5e56442	2026-09-21	3.2,3.4-3.7	static function	src/devices/hdlc/chip_com5025.c	41	COM5025_ClearTransmitterBufferEmpty	com5025_clear_transmitter_buffer_empty	3
5e56442	2026-09-21	3.2,3.4-3.7	static function	src/devices/hdlc/chip_com5025.c	48	COM5025_MapBits2CharLen	com5025_map_bits_to_character_length	4
5e56442	2026-09-21	3.2,3.4-3.7	static function	src/devices/hdlc/chip_com5025.c	43	COM5025_MoveTDBtoTSR	com5025_move_data_buffer_to_shift_register	3
5e56442	2026-09-21	3.2,3.4-3.7	static function	src/devices/hdlc/chip_com5025.c	46	COM5025_SendOneByte	com5025_send_one_byte	6
5e56442	2026-09-21	3.2,3.4-3.7	static function	src/devices/hdlc/chip_com5025.c	38	COM5025_SetOutputPin	com5025_set_output_pin	27
5e56442	2026-09-21	3.2,3.4-3.7	static function	src/devices/hdlc/chip_com5025.c	40	COM5025_SetTransmitterBufferEmpty	com5025_set_transmitter_buffer_empty	4
5e56442	2026-09-21	3.2,3.4-3.7	static function	src/devices/hdlc/chip_com5025.c	47	COM5025_TSR_Empty	com5025_shift_register_empty	3
5e56442	2026-09-21	3.2,3.4-3.7	static function	src/devices/hdlc/chip_com5025.c	45	COM5025_TransmitByteOutput	com5025_transmit_byte_output	3
5e56442	2026-09-21	3.2,3.4-3.7	static function	src/devices/hdlc/chip_com5025.c	44	COM5025_WriteDataToTSR	com5025_write_data_to_shift_register	3
5e56442	2026-09-21	3.2,3.4-3.7	static function	src/devices/hdlc/chip_com5025.c	42	COM5025_WriteTransmitterDataBuffer	com5025_write_transmitter_data_buffer	4
5e56442	2026-09-21	3.2,3.4-3.7	local variable	src/devices/hdlc/chip_com5025.c	742	bitsFrom0To1	bits_from0_to1	2
